Hand Scanner,H Scanner
Djed Pillar,Djed Pillar
Mjolnir,Mjolnir
Beherit,Beherit
Ancient Battery,Battery
Lamp of Time,Lamp
Pochette Key,P Key
Pyramid Crystal,Crystal P
Crystal Skull,Crystal S1
Vessel,Vessel
Pepper,Pepper
Giants Flute,G Pipe
Cog of Antiquity,Gear
Mulana Talisman,M Talisman
Chain Whip,Whip2
Flail Whip,Whip3
Knife,Knife
Katana,Katana
Axe,Axe
Rapier,Rapier
Shuriken,Shuriken
Rolling Shuriken,R-Shuriken
Earth Spear,E-Spear
Flare,Flare Gun
Bomb,Bomb
Chakram,Chakram
Caltrops,Caltrops
Pistol,Pistol
Buckler,Shield
Silver Shield,Shield2
Angel Shield,Shield3
Sacred Orb,Sacred Orb0
Sacred Orb,Sacred Orb1
Sacred Orb,Sacred Orb2
Sacred Orb,Sacred Orb3
Sacred Orb,Sacred Orb4
Sacred Orb,Sacred Orb5
Sacred Orb,Sacred Orb6
Sacred Orb,Sacred Orb7
Sacred Orb,Sacred Orb8
Sacred Orb,Sacred Orb9
Ankh Jewel,Ankh Jewel1
Ankh Jewel,Ankh Jewel2
Ankh Jewel,Ankh Jewel3
Ankh Jewel,Ankh Jewel4
Ankh Jewel,Ankh Jewel5
Ankh Jewel,Ankh Jewel6
Ankh Jewel,Ankh Jewel7
Ankh Jewel,Ankh Jewel8
Ankh Jewel,Ankh Jewel9
Gloves,Glove
Grapple Claw,G Claw
Snow Shoes,Snow Shoes
Flame Torc,F Torque
Gale Fibula,G Band
Feather,Feather
Ice Cloak,Ice Cape
Scalesphere,Scalesphere
Power Band,Power Band
Anchor,Anchor
Holy Grail,Holy Grail
Fairy Pass,F Pass
Freyas Pendant,F Pendant
Maats Feather,M Feather
Dinosaur Figure,D Figure
Freys Ship,F Ship
Ganesha Talisman,Gold Bangle
Harp,Harp
Destiny Tablet,Destiny Tablet
Light Scythe,L Scythe
Secret Treasure of Life,Secret Treasure
Origin Sigil,Origin Sigil
Birth Sigil,Birth Sigil
Life Sigil,Life Sigil
Death Sigil,Death Sigil
Enga Musica,Enga Musica
Snapshot,Snapshots
Claydoll Suit,Claydoll
